"TOA5","CR200Series","CR200X","No_SN","CR200X.Std.03","Otemma_Septembre2018_5min_2downstream_s1107.cr2","24307","StageTemp"
"TIMESTAMP","RECORD","Stage_m","Temp_C"
"TS","RN","meters","deg C"
"","","Smp","Smp"
"2019-07-20 00:00:00",228,0.4317434,1.169794
"2019-07-20 00:10:00",229,0.4245033,1.173232
"2019-07-20 00:20:00",230,0.4108764,1.159125
"2019-07-20 00:30:00",231,0.4453293,1.145115
"2019-07-20 00:40:00",232,0.452172,1.148447
"2019-07-20 00:50:00",233,0.4540136,1.144718
"2019-07-20 01:00:00",234,0.4591122,1.131148
"2019-07-20 01:10:00",235,0.4110943,1.140332
"2019-07-20 01:20:00",236,0.4168655,1.153356
"2019-07-20 01:30:00",237,0.4132808,1.126215
"2019-07-20 01:40:00",238,0.4461481,1.105901
"2019-07-20 01:50:00",239,0.430642,1.090449
"2019-07-20 02:00:00",240,0.3938567,1.096421
"2019-07-20 02:10:00",241,0.427246,1.083925
"2019-07-20 02:20:00",242,0.428624,1.064576
"2019-07-20 02:30:00",243,0.4358669,1.055605
"2019-07-20 02:40:00",244,0.3933004,1.047758
"2019-07-20 02:50:00",245,0.4124926,1.037191
"2019-07-20 03:00:00",246,0.4107431,1.029911
"2019-07-20 03:10:00",247,0.4543653,1.007138
"2019-07-20 03:20:00",248,0.4441559,1.000757
"2019-07-20 03:30:00",249,0.425197,1.014803
"2019-07-20 03:40:00",250,0.4434223,1.00014
"2019-07-20 03:50:00",251,0.438347,1.006466
"2019-07-20 04:00:00",252,0.4396473,1.063301
"2019-07-20 04:10:00",253,0.4145087,1.052736
"2019-07-20 04:20:00",254,0.4313621,1.029434
"2019-07-20 04:30:00",255,0.4237827,1.040303
"2019-07-20 04:40:00",256,0.4102387,1.049932
"2019-07-20 04:50:00",257,0.4027662,1.063697
"2019-07-20 05:00:00",258,0.3930057,1.068781
"2019-07-20 05:10:00",259,0.4280039,1.065949
"2019-07-20 05:20:00",260,0.4119358,1.059011
"2019-07-20 05:30:00",261,0.4262546,1.050583
"2019-07-20 05:40:00",262,0.4177631,1.047579
"2019-07-20 05:50:00",263,0.4212935,1.044342
"2019-07-20 06:00:00",264,0.4200936,1.049867
"2019-07-20 06:10:00",265,0.4047004,1.061848
"2019-07-20 06:20:00",266,0.4166397,1.086655
"2019-07-20 06:30:00",267,0.3791511,1.120684
"2019-07-20 06:40:00",268,0.3827294,1.179525
"2019-07-20 06:50:00",269,0.4108971,1.1544
"2019-07-20 07:00:00",270,0.4062935,1.103473
"2019-07-20 07:10:00",271,0.4078388,1.088832
"2019-07-20 07:20:00",272,0.4322446,1.11169
"2019-07-20 07:30:00",273,0.4017639,1.131273
"2019-07-20 07:40:00",274,0.4291957,1.151192
"2019-07-20 07:50:00",275,0.428876,1.153677
